time,actual_roll,actual_pitch,actual_yaw,estimated_roll,estimated_pitch,estimated_yaw,reference_roll,reference_pitch,reference_yawrate,m1,m2,m3,m4,l1,l2,l3,l4
0.001000,0.000000,0.000000,0.000000,-0.408205,-0.966781,0.000000,1.000000,0.000000,0.000000,44.715038,45.122454,45.285725,44.876783,0.000000,0.000000,0.000000,0.000000
0.051000,0.175594,0.123534,-0.000061,-0.002081,-0.725257,-0.000070,1.000000,0.000000,0.000000,44.950027,45.001907,45.050736,44.998856,0.000000,-0.000022,0.000000,0.000000
0.101000,0.489352,0.317228,-0.000226,0.341215,-0.358907,-0.000242,2.000000,0.000000,0.000000,45.091936,44.995804,44.907301,45.004959,0.000000,-0.000039,0.000000,0.000000
0.151000,0.860576,0.466926,-0.000465,0.609388,-0.206399,-0.000491,2.000000,0.000000,0.000000,45.014115,44.934768,44.986648,45.064469,0.000000,-0.000063,0.000000,0.000000
0.201000,1.288776,0.544668,-0.000846,1.224189,0.066814,-0.000880,3.000000,0.000000,0.000000,45.107195,45.026322,44.892042,44.972915,0.000000,-0.000086,0.000000,0.000000
0.251000,1.719898,0.548718,-0.001260,1.630337,0.211106,-0.001290,3.000000,0.000000,0.000000,45.049210,44.974441,44.950027,45.024796,0.000000,-0.000076,0.000000,0.000000
0.301000,2.178478,0.497660,-0.001600,1.964828,0.289626,-0.001622,4.000000,0.000000,0.000000,45.043107,45.014115,44.956130,44.986648,0.000000,-0.000056,0.000000,0.000000
0.351000,2.671985,0.410282,-0.001772,2.688867,0.054801,-0.001777,4.000000,0.000000,0.000000,45.012589,45.098039,44.986648,44.902724,0.000000,-0.000012,0.000000,0.000000
0.401000,3.156585,0.355182,-0.001759,3.071022,0.057703,-0.001752,5.000000,0.000000,0.000000,45.043107,45.070573,44.956130,44.928664,0.000000,0.000017,0.000000,0.000000
0.451000,3.639498,0.329430,-0.001652,3.466737,-0.036730,-0.001644,5.000000,0.000000,0.000000,44.994278,45.020218,45.004959,44.979019,0.000000,0.000020,0.000000,0.000000
0.501000,4.154842,0.329083,-0.001557,4.046464,-0.184842,-0.001552,6.000000,0.000000,0.000000,45.049210,45.101091,44.951553,44.899672,0.000000,0.000015,0.000000,0.000000
0.551000,4.653949,0.362542,-0.001521,4.275905,-0.150191,-0.001522,6.000000,0.000000,0.000000,44.977493,44.975967,45.021744,45.024796,0.000000,-0.000002,0.000000,0.000000
0.601000,5.195730,0.396163,-0.001540,4.844858,0.154197,-0.001543,7.000000,0.000000,0.000000,45.094987,45.003433,44.904250,44.995804,0.000000,-0.000008,0.000000,0.000000
0.651000,5.734832,0.366059,-0.001612,5.615857,0.387026,-0.001617,7.000000,0.000000,0.000000,45.090410,45.012589,44.908827,44.988174,0.000000,-0.000015,0.000000,0.000000
0.701000,6.233070,0.279943,-0.001586,5.969613,0.263723,-0.001579,8.000000,0.000000,0.000000,45.040055,45.037003,44.960708,44.962234,0.000000,0.000019,0.000000,0.000000
0.751000,6.738988,0.197019,-0.001458,6.387600,0.043447,-0.001442,8.000000,0.000000,0.000000,44.966812,45.043107,45.033951,44.956130,0.000000,0.000040,0.000000,0.000000
0.801000,7.286274,0.150226,-0.001223,6.861005,0.087023,-0.001200,9.000000,0.000000,0.000000,45.062943,45.058366,44.936294,44.940871,0.000000,0.000057,0.000000,0.000000
0.851000,7.830962,0.131735,-0.000948,7.436848,-0.091250,-0.000929,9.000000,0.000000,0.000000,45.015640,45.043107,44.985122,44.956130,0.000000,0.000047,0.000000,0.000000
0.901000,8.345861,0.138483,-0.000750,8.176103,0.076084,-0.000734,10.000000,0.000000,0.000000,45.101091,45.059892,44.898146,44.939345,0.000000,0.000039,0.000000,0.000000
0.951000,8.792533,0.119666,-0.000535,8.890729,0.035594,-0.000515,10.000000,0.000000,0.000000,45.035477,45.053788,44.963760,44.945449,0.000000,0.000050,0.000000,0.000000
1.001000,9.197006,0.113233,-0.000275,9.060162,-0.124841,-0.000256,9.000000,0.000000,0.000000,45.008011,45.020218,44.991226,44.979019,0.000000,0.000047,0.000000,0.000000
1.051000,9.385095,0.147344,-0.000072,9.338149,-0.110084,-0.000056,9.000000,0.000000,0.000000,45.088884,45.078202,44.911879,44.921035,0.000000,0.000038,0.000000,0.000000
1.101000,9.342839,0.190251,0.000065,9.032416,-0.153156,0.000074,8.000000,0.000000,0.000000,44.980545,44.969863,45.020218,45.029374,0.000000,0.000022,0.000000,0.000000
1.151000,9.196421,0.232710,0.000170,8.891335,-0.002558,0.000178,8.000000,0.000000,0.000000,45.070573,45.026322,44.930190,44.972915,0.000000,0.000020,0.000000,0.000000
1.201000,8.916498,0.259566,0.000216,8.599498,-0.144459,0.000217,7.000000,0.000000,0.000000,44.956130,44.972915,45.044633,45.026322,0.000000,0.000003,0.000000,0.000000
1.251000,8.557265,0.287934,0.000196,8.391685,0.134012,0.000191,7.000000,0.000000,0.000000,45.075151,44.983597,44.924086,45.015640,0.000000,-0.000012,0.000000,0.000000
1.301000,8.103048,0.273879,0.000138,8.117761,-0.012185,0.000131,6.000000,0.000000,0.000000,44.957656,44.998856,45.043107,45.001907,0.000000,-0.000016,0.000000,0.000000
1.351000,7.570951,0.254904,0.000040,7.815112,0.071038,0.000031,6.000000,0.000000,0.000000,45.021744,45.004959,44.977493,44.995804,0.000000,-0.000022,0.000000,0.000000
1.401000,6.974862,0.225938,-0.000028,7.062770,0.336571,-0.000035,5.000000,0.000000,0.000000,44.953079,44.872206,45.046159,45.127031,0.000000,-0.000016,0.000000,0.000000
1.451000,6.416877,0.138645,-0.000184,6.562485,0.492011,-0.000202,5.000000,0.000000,0.000000,45.004959,44.945449,44.994278,45.053788,0.000000,-0.000042,0.000000,0.000000
